"Hover Image Product Grids","Imagens com Hover nas Grades de Produtos"
"General","Geral"
"Enable Hover Image Product Grids Module","Habilitar o módulo de imagens nas grades de produtos"
"Enable or disable hover and slider images in product grids.","Habilita ou desabilita as imagens de hover e slider nas grades de produtos."
"Use Slider Instead of Hover","Usar slider em vez de hover"
"Use the product images selected for the grid slider instead of the hover image.","Usa no slider as imagens selecionadas no produto em vez da imagem de hover."
"Use in Product Grid Slider","Usar no slider da grade de produtos"
"Product Grid Slider","Slider da grade de produtos"
"Use Default Value","Usar valor padrão"
"Hover Image","Imagem de hover"
"Product image gallery","Galeria de imagens do produto"
"Product image gallery controls","Controles da galeria de imagens do produto"
"Previous image","Imagem anterior"
"Next image","Próxima imagem"
"The product grid slider image selection is invalid.","A seleção de imagens do slider da grade de produtos é inválida."
